name,url,type,cr
Bogwiggle,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bogwiggle/,aberrations,1
Bone Cobbler,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bone-cobbler/,aberrations,4
Bone Crawler (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bone-crawler-fgg/,aberrations,12
Bonesucker,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bonesucker/,aberrations,7
Brethedan,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/brethedan/,aberrations,5
Brume,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/brume/,aberrations,10
Bulgu,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bulgu/,aberrations,9
Byakhee,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/byakhee/,aberrations,4
Byakhee (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/byakhee-2/,aberrations,6
Capramace,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/capramace/,aberrations,7
Carbuncle (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/carbuncle-tohc/,aberrations,1/2
Carrion Moth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/carrion-moth/,aberrations,5
Cerebral Stalker,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/cerebral-stalker/,aberrations,8
Ceroptor,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ceroptor/,aberrations,UNKNOWN
Ceroptor,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ceroptor/ceroptor/,aberrations,8
"Ceroptor, Bodied",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ceroptor/ceroptor-bodied/,aberrations,12
"Ceroptor, Swarm",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ceroptor/ceroptor-swarm/,aberrations,16
Charybdis,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/charybdis/,aberrations,13
"Charybdis, Giant (Mythic)",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/charybdis-giant-mythic/,aberrations,17/M
Chelarac,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chelarac/,aberrations,8
Chelarac Broodling,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chelarac/chelarac-broodling/,aberrations,2
Chelicerae,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chelicerae-mb/,aberrations,8
Cherum,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/cherum/,aberrations,22
Choker,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/choker/,aberrations,2
Choker Brute,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/choker/choker-brute/,aberrations,4
"Choker, Serial",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/choker-serial/,aberrations,5
Chon Chon,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chon-chon/,aberrations,1/2
Chon Chon Swarm,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chon-chon/chon-chon-swarm/,aberrations,3
Chuul,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chuul/,aberrations,7
"Chuul, Larval",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chuul/chuul-larval/,aberrations,1
"Chuul, Lesser",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chuul/chuul-lesser/,aberrations,4
"Chuul, Pale",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chuul-pale/,aberrations,10
Chyzaedu,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/chyzaedu/,aberrations,10
Clamor,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/clamor/,aberrations,4
Cloaker,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/cloaker/,aberrations,5
Conqueror Worm,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/conqueror-worm/,aberrations,21
Consumed,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/consumed/,aberrations,9
Corpse Orgy,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/corpse-orgy/,aberrations,13
"Corpse Orgy, Fiery",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/corpse-orgy/corpse-orgy-fiery/,aberrations,14
Crag Man,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/crag-man/,aberrations,5
Crimson Death,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/crimson-death-fgg/,aberrations,10
Crystalline Horror,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/crystalline-horror/,aberrations,5
Cuegle,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/cuegle/,aberrations,5
Cuero,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/cuero/,aberrations,5
Cursed Beast,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/cursed-beast/,aberrations,15
Dark Spawn of Shub-Niggurath,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dark-spawn-of-shub-niggurath/,aberrations,13
Dark Young (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dark-young/,aberrations,UNKNOWN
"Dark Young, Adolescent",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dark-young/dark-young-adolescent/,aberrations,7
"Dark Young, Adult",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dark-young/dark-young-adult/,aberrations,11
"Dark Young, Mature",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dark-young/dark-young-mature/,aberrations,15
Dark Young of Shub-Niggurath,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dark-young-of-shub-niggurath/,aberrations,12
Daughter of Shub-Niggurath,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/daughter-of-shub-niggurath/,aberrations,20
Decapus,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/decapus/,aberrations,4
Decapus (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/decapus-tohc/,aberrations,3
Deep Walker,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/deep-walker/,aberrations,14
Delver,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/delver/,aberrations,9
Delver (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/delver-srd/,aberrations,9
Destrachan,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/destrachan/,aberrations,8
Dossenus,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dossenus/,aberrations,1
Draconid,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/draconid-tohc/,aberrations,9
Drakainia,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/drakainia/,aberrations,25/M
Drider,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/drider/,aberrations,7
Dust Digger,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dust-digger/,aberrations,4
Dust Digger (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dust-digger-tohc/,aberrations,4
Dwiergeth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/dwiergeth/,aberrations,13
Ecstasy Feeder,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ecstasy-feeder/,aberrations,3
Egophage,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/egophage/,aberrations,10
Egregore,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/egregore/,aberrations,10
Elder Thing,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/elder-thing/,aberrations,5
Elder Thing (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/elder-thing-2/,aberrations,14
Embryonic Aboleth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/embryonic-aboleth/,aberrations,3
Embryonic Intellect Devourer,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/embryonic-intellect-devourer/,aberrations,4
Embryonic Neh-Thalggu,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/embryonic-neh-thalggu/,aberrations,4
Emkrah,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/emkrah/,aberrations,9
Encephalon Gorger,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/encephalon-gorger-tohc/,aberrations,8
Encephalon Gorger Psychic,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/encephalon-gorger-psychic/,aberrations,13
Enisysian,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/enisysian/,aberrations,4
Eremite Symbiont,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/eremite-symbiont/,aberrations,10
Eremite Wizard,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/eremite-wizard/,aberrations,10
Ethereal Filcher (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ethereal-filcher/,aberrations,2
Ethereal Graveyard Tool,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ethereal-graveyard-tool/,aberrations,3
Ettercap,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ettercap/,aberrations,3
"Ettercap, Advanced",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ettercap/ettercap-advanced/,aberrations,4
"Ettercap, Feral",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ettercap-feral/,aberrations,6
"Ettercap, Spider Lord",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ettercap-spider-lord/,aberrations,12
"Ettercap, Webspinner",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ettercap-webspinner/,aberrations,9
Evil Eye,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/evil-eye/,aberrations,12
Evil Eye (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/evil-eye-ff/,aberrations,10
Executioner's Hood,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/executioner-s-hood-tohc/,aberrations,2
Eye Eater,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/eye-eater/,aberrations,5
Eye of The Deep,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/eye-of-the-deep/,aberrations,6
Eye of the Deep,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/eye-of-the-deep-tohc/,aberrations,6
Eye Sentinel,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/eye-sentinel/,aberrations,2
Faceless Hulk (Ugoroth),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/faceless-hulk-ugoroth/,aberrations,9
Faceless Stalker,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/faceless-stalker/,aberrations,4
Fachen,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fachen/,aberrations,5
Fetid Stray,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fetid-stray/,aberrations,4
Fleshdreg,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fleshdreg/,aberrations,1
Fleshdreg Swarm,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fleshdreg/fleshdreg-swarm/,aberrations,2
Fleshwarped,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fleshwarped/,aberrations,UNKNOWN
"Fleshwarp, Ghonhatine",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fleshwarped/fleshwarp-ghonhatine/,aberrations,10
"Fleshwarp, Grothlut",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fleshwarped/fleshwarp-grothlut/,aberrations,3
"Fleshwarp, Halsora",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fleshwarped/fleshwarp-halsora/,aberrations,7
"Fleshwarp, Irnakurse",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fleshwarped/fleshwarp-irnakurse/,aberrations,9
Flumph,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/flumph/,aberrations,1
Flumph (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/flumph-tohc/,aberrations,1
"Flumph, Rift",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/flumph-rift/,aberrations,2
Flying Polyp,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/flying-polyp/,aberrations,14
Flying Polyp (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/flying-polyp-3pp/,aberrations,14
Fogwarden,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fogwarden/,aberrations,5
Force Morlock,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/force-morlock/,aberrations,4
Froghemoth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/froghemoth/,aberrations,13
Froghemoth (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/froghemoth-tohc/,aberrations,13
"Froghemoth, Electric",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/froghemoth-tohc/froghemoth-electric/,aberrations,14
Tadhemoth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/froghemoth-tohc/tadhemoth/,aberrations,5
"Froghemoth, Arctic",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/froghemoth-arctic/,aberrations,8
"Froghemoth, Deep",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/froghemoth-deep/,aberrations,19
"Froghemoth, Volcanic",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/froghemoth-volcanic/,aberrations,16
Fungal Crawler,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/fungal-crawler/,aberrations,3
Gambado,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gambado-tohc/,aberrations,3
Get of Iblis,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/get-of-iblis/,aberrations,13
Ghorazagh,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/ghorazagh/,aberrations,13
Giant Mythic Charybdis,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/giant-mythic-charybdis/,aberrations,17/M
Giant Mythic Neothelid,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/giant-mythic-neothelid/,aberrations,19/M
Gibbering Abomination,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gibbering-abomination-fgg/,aberrations,13
Gibbering Mouther,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gibbering-mouther/,aberrations,5
"Gibbering Mouther, Delirious Chorus",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gibbering-mouther-delirious-chorus/,aberrations,9
Gibbering Orb,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gibbering-orb-fgg/,aberrations,27
"Gibbering Orb, Lesser",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gibbering-orb-fgg/gibbering-orb-lesser-fgg/,aberrations,11
Goblin Naga,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/goblin-naga/,aberrations,6
Goblin Snake,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/goblin-snake/,aberrations,1
"Goblin, Runewarped",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/goblin-runewarped/,aberrations,5
Gohl,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gohl-tohc/,aberrations,9
Goo Sphere,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/goo-sphere/,aberrations,2
Gorbel,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gorbel-tohc/,aberrations,1/2
"Great Old One, Cthulhu",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-one-cthulhu/,aberrations,30
"Great Old One, Hastur",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-one-hastur/,aberrations,29
Great Old Ones,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-ones/,aberrations,27)
"Great Old One, Rhan-Tegoth",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-ones/great-old-one-rhan-tegoth/,aberrations,28
"Great Old One, Tawil atâUmr",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-ones/great-old-one-tawil-atumr/,aberrations,30
"Great Old One, Yig",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-ones/great-old-one-yig/,aberrations,27
"Great Old One, Cthulhu",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-ones/great-old-one-cthulhu/,aberrations,30 (
"Great Old One, Hastur",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/great-old-ones/great-old-one-hastur/,aberrations,29
Grick,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/grick/,aberrations,3
"Grick, Jungle",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/grick/grick-jungle/,aberrations,4
Grikkitog,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/grikkitog/,aberrations,14
Grimslake,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/grimslake/,aberrations,6
Grindylow,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/grindylow/,aberrations,1/2
Guajona,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/guajona/,aberrations,3
Gug,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gug/,aberrations,10
Gug Savant,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gug/gug-savant/,aberrations,11
Gutslug,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/gutslug-tohc/,aberrations,3
Hallajin,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hallajin/,aberrations,17
Havero,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/havero/,aberrations,24
Havero Tentacle,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/havero-tentacle/,aberrations,6
Heikegani,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/heikegani/,aberrations,4
Hell Moth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hell-moth/,aberrations,6
High Priest of Shub-Niggurath,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/high-priest-of-shub-niggurath/,aberrations,18
Hive,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hive/,aberrations,UNKNOWN
Hive Larva Swarm,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hive/hive-larva-swarm/,aberrations,5
Hive Queen,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hive/hive-queen/,aberrations,10
Hive Warrior,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hive/hive-warrior/,aberrations,5
Hive Brute,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hive-brute/,aberrations,8
Horla,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/horla/,aberrations,8
Hoyrall,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hoyrall/,aberrations,1/2
Hundun,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hundun/,aberrations,21
Hunting Horror,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hunting-horror/,aberrations,16
Hyakume,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hyakume-2/,aberrations,15
Hyakume,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hyakume/,aberrations,15
Hyaleth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/hyaleth/,aberrations,10
Iku-Turso,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/iku-turso/,aberrations,8
Incutilis,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/incutilis/,aberrations,2
Incutilis (Mythic),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/incutilis-mythic/,aberrations,3/MR
Incutilis Lord,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/incutilis-lord/,aberrations,8
Indombe,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/indombe/,aberrations,9
Intellect Devourer,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/intellect-devourer/,aberrations,8
Irlgaunt,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/irlgaunt/,aberrations,13
Isitwalangcengce,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/isitwalangcengce/,aberrations,3
"Jelly, Marsh",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/jelly-marsh/,aberrations,3
"Jelly, Marsh, Jubilex-Touched",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/jelly-marsh/jelly-marsh-jubilex-touched/,aberrations,11
Jorganth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/jorganth/,aberrations,8/MR
Jubear,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/jubear/,aberrations,7
Khardajeen,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/khardajeen/,aberrations,14
Kilblain,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/kilblain/,aberrations,18
Kraâtah,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/kratah/,aberrations,4
"Kraâtah, Ice",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/kratah/kratah-ice/,aberrations,5
"Kraâtah, Sonic",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/kratah/kratah-sonic/,aberrations,6
Larva of the Outer Gods,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/larva-of-the-outer-gods/,aberrations,15
Leng Hound,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/leng-hound/,aberrations,10
Letztermensch,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/letztermensch/,aberrations,10
Living Rune,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/living-rune/,aberrations,13
Lorelei,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/lorelei/,aberrations,12
Luma,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/luma/,aberrations,5
Lunarma,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/lunarma/,aberrations,6
Lurker Above,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/lurker-above-tohc/,aberrations,7
Lurking Ray,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/lurking-ray/,aberrations,UNKNOWN
Executionerâs Hood,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/lurking-ray/executioner-s-hood/,aberrations,2
Lurker Above,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/lurking-ray/lurker-above/,aberrations,7
"Lurking Ray, Trapper",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/lurking-ray/trapper/,aberrations,8
Mannstirge,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/mannstirge/,aberrations,3
Mawler,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/mawler/,aberrations,4
"Medusa, Headsmanâs",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/medusa-headsmans/,aberrations,5
Mimic,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/mimic/,aberrations,4
"Mimic, Failed-Apotheosis",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/mimic/mimic-failed-apotheosis/,aberrations,8
"Mimic, Miniaturizing",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/mimic-miniaturizing/,aberrations,3
Moit of Shub-Niggurath,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/moit-of-shub-niggurath/,aberrations,UNKNOWN
Slugspawn,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/moit-of-shub-niggurath/slugspawn/,aberrations,5
